#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sat Feb 01 17:34:07 EST 2020,55,55,Assignment1Suite,ClearTest1+ EverythingTest1+ GetTest0+ GetTest1+ InsertTest3+ InsortTest0+ InsortTest1+ SizeTest0+ SizeTest1+ SizeTest2+ SizeTest3+ , ,ClearTest0- EverythingTest0- InsertTest0- InsertTest1- InsertTest2- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- , ,
1,Sat Feb 01 17:35:42 EST 2020,55,0,Assignment1Suite,ClearTest1 EverythingTest1 GetTest0 GetTest1 InsertTest3 InsortTest0 InsortTest1 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
2,Sat Feb 01 17:36:09 EST 2020,55,0,Assignment1Suite,ClearTest1 EverythingTest1 GetTest0 GetTest1 InsertTest3 InsortTest0 InsortTest1 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
3,Sat Feb 01 17:36:50 EST 2020,55,0,Assignment1Suite,ClearTest1 EverythingTest1 GetTest0 GetTest1 InsertTest3 InsortTest0 InsortTest1 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
4,Sat Feb 01 17:42:51 EST 2020,50,-5,Assignment1Suite,ClearTest1 EverythingTest1 GetTest1 InsertTest3 InsortTest0 InsortTest1 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 EverythingTest0 GetTest0- InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
5,Sat Feb 01 17:44:46 EST 2020,55,5,Assignment1Suite,ClearTest1 EverythingTest1 GetTest0+ GetTest1 InsertTest3 InsortTest0 InsortTest1 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
6,Sat Feb 01 17:49:38 EST 2020,75,20,Assignment1Suite,ClearTest1 EverythingTest1 GetTest0 GetTest1 InsertTest0+ InsertTest2+ InsertTest3 InsortTest0 InsortTest1 RemoveTest0+ RemoveTest3+ SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 EverythingTest0 InsertTest1 RemoveTest1 RemoveTest2 , ,
7,Sat Feb 01 17:52:44 EST 2020,75,0,Assignment1Suite,ClearTest1 EverythingTest1 GetTest0 GetTest1 InsertTest0 InsertTest2 InsertTest3 InsortTest0 InsortTest1 RemoveTest0 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 EverythingTest0 InsertTest1 RemoveTest1 RemoveTest2 , ,
8,Sat Feb 01 17:57:16 EST 2020,85,10,Assignment1Suite,ClearTest0+ ClearTest1 EverythingTest1 GetTest0 GetTest1 InsertTest0 InsertTest1+ InsertTest2 InsertTest3 InsortTest0 InsortTest1 RemoveTest0 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,EverythingTest0 RemoveTest1 RemoveTest2 , ,
9,Sat Feb 01 17:58:38 EST 2020,85,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest1 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsortTest0 InsortTest1 RemoveTest0 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,EverythingTest0 RemoveTest1 RemoveTest2 , ,
